Countries,Indicators,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,15.6863,13.1662,11.2756,10.9327,24.4843,13.1703,15.1241,14.7583,16.3026,16.8622
Comoros,External Health Expenditure (EXT) per Capita in PPP Int$,,6.9561,8.743,9.1094,12.9375,13.2089,11.1399,11.9785,11.6673,11.6511,12.4673
Comoros,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,104.1449,100.6873,97.7182,95.0449,94.3445,93.7582,93.8086,92.8256,90.5684,84.7235
Comoros,Gross Domestic Product ,in current PPP per capita,"1,374.87","1,384.93","1,399.39","1,417.59","1,472.93","1,512.09","1,580.35","1,597.14","1,567.34","1,518.08"
Comoros,General government expenditure ,in current PPP per capita,306.9648,360.4371,322.0976,313.9504,325.8478,383.03,397.7047,388.0871,428.1914,464.5903
Congo,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,26.7743,48.872,29.684,46.0471,36.8074,56.8706,65.6909,69.7083,91.7669,111.3073
Congo,External Health Expenditure (EXT) per Capita in PPP Int$,,15.9698,11.4417,19.7314,12.0789,20.7592,34.958,27.0481,26.3963,38.1121,8.6533
Congo,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,42.6806,37.6817,51.8549,43.39,40.6916,39.4382,41.7804,45.2975,65.4065,130.8962
Congo,Gross Domestic Product ,in current PPP per capita,"3,869.85","3,899.09","4,634.12","5,197.03","5,348.38","5,359.79","5,477.39","5,792.73","5,899.77","5,680.69"
Congo,General government expenditure ,in current PPP per capita,"1,304.74","1,074.36","1,174.13","1,098.86","1,393.46","1,887.01","2,741.77","3,265.41","3,136.87","2,840.00"
Côte d'Ivoire,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,20.3544,21.3677,24.0832,21.3645,21.1972,29.0447,32.9851,28.0387,39.6494,41.9168
Côte d'Ivoire,External Health Expenditure (EXT) per Capita in PPP Int$,,13.9702,16.7084,19.2756,22.9971,18.8198,26.2162,13.3037,30.0965,47.8549,24.4044
Côte d'Ivoire,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,99.9773,96.2693,96.2092,94.1395,91.4011,88.4311,86.0107,84.873,65.4324,65.2973
Côte d'Ivoire,Gross Domestic Product ,in current PPP per capita,"2,508.37","2,567.19","2,612.06","2,635.84","2,539.93","2,736.80","2,980.27","3,217.77","3,451.88","3,693.44"
Côte d'Ivoire,General government expenditure ,in current PPP per capita,514.6242,517.7173,519.4034,527.0419,463.3338,610.6494,653.2497,676.679,787.4169,858.9751
Democratic Republic of the Congo,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,1.3423,1.704,1.8091,2.4875,2.4174,3.7784,3.5304,4.2081,5.4392,4.226
Democratic Republic of the Congo,External Health Expenditure (EXT) per Capita in PPP Int$,,5.7738,11.2055,10.8615,10.8129,10.0487,9.1918,10.1418,12.2182,12.8148,14.9656
Democratic Republic of the Congo,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,15.281,14.5419,11.9984,8.9422,8.6479,9.4315,9.9618,11.7687,11.8664,12.9104
Democratic Republic of the Congo,Gross Domestic Product ,in current PPP per capita,542.0618,568.0848,569.535,600.5005,649.0772,667.0144,708.6085,763.8587,809.6715,890.9008
Democratic Republic of the Congo,General government expenditure ,in current PPP per capita,53.4434,67.8435,72.027,99.0339,94.853,96.7397,89.792,141.2383,137.6367,113.415
Equatorial Guinea,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,141.7025,166.1731,172.729,104.8745,97.4973,150.2177,155.5902,137.2976,180.4567,197.2199
Equatorial Guinea,External Health Expenditure (EXT) per Capita in PPP Int$,,29.3259,17.7513,41.0374,26.1799,23.0803,15.4798,7.5783,2.6034,11.1523,10.2922
Equatorial Guinea,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,295.5438,277.5373,388.0969,348.0544,314.779,328.807,393.6312,416.0485,552.8689,610.8937
Equatorial Guinea,Gross Domestic Product ,in current PPP per capita,"33,513.74","38,441.35","37,496.57","33,041.19","34,363.15","36,288.40","33,877.54","32,808.52","28,346.97","24,840.40"
Equatorial Guinea,General government expenditure ,in current PPP per capita,"6,598.50","7,647.02","14,941.32","10,301.88","9,447.30","12,773.39","9,917.17","10,499.40","12,794.13","7,625.88"
Eritrea,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,13.8496,3.6608,15.6078,7.3333,8.5062,10.0142,4.9112,5.7215,6.1099,16.1671
Eritrea,External Health Expenditure (EXT) per Capita in PPP Int$,,19.7931,24.7756,17.8657,15.2849,30.0709,11.5968,16.3348,15.6362,14.208,6.486
Eritrea,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,26.5336,23.3623,26.0196,25.2019,24.9676,25.7074,27.1946,28.2345,30.3178,32.6779
Eritrea,Gross Domestic Product ,in current PPP per capita,"1,473.09","1,329.62","1,366.61","1,387.74","1,511.36","1,597.94","1,661.91","1,691.63","1,707.34","1,869.73"
Eritrea,General government expenditure ,in current PPP per capita,588.3182,560.2321,418.2588,486.4113,511.6362,495.6877,512.2264,507.2733,505.1161,553.7614
Ethiopia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,10.7611,4.5652,8.59,9.8958,4.4315,13.3576,15.0848,10.7267,16.7288,19.2004
Ethiopia,External Health Expenditure (EXT) per Capita in PPP Int$,,13.4676,17.7733,14.7963,19.8493,19.5017,15.908,13.0134,14.1855,10.1938,10.6505
Ethiopia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,13.3293,14.6241,16.0474,24.3261,24.1832,23.99,23.7078,23.2891,24.9104,26.019
Ethiopia,Gross Domestic Product ,in current PPP per capita,807.3817,887.8814,947.2257,"1,052.29","1,162.78","1,253.24","1,371.98","1,500.67","1,632.55","1,749.48"
Ethiopia,General government expenditure ,in current PPP per capita,165.6862,166.5312,162.0958,194.4971,211.9532,208.6434,243.6067,262.3733,282.8511,318.8382
Gabon,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,189.5667,156.0314,222.6337,236.6992,252.005,244.0364,311.3404,266.4786,282.9411,358.865
Gabon,External Health Expenditure (EXT) per Capita in PPP Int$,,13.5382,8.5321,8.4327,4.2469,4.4221,1.9205,1.7922,4.4475,3.9433,4.7468
Gabon,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,243.9819,213.2623,280.9455,94.9967,112.7317,111.5776,138.7246,125.1808,124.4188,125.0889
Gabon,Gross Domestic Product ,in current PPP per capita,"15,369.09","14,686.46","14,450.74","15,045.17","15,893.52","16,457.16","17,078.19","17,569.77","18,073.60","17,849.13"
Gabon,General government expenditure ,in current PPP per capita,"2,979.82","2,780.01","3,265.62","3,474.04","3,455.38","3,941.42","5,921.79","4,173.78","4,021.98","3,899.62"
Gambia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,28.9136,28.8995,36.7173,29.7066,32.6505,36.8668,26.7696,18.5493,13.6938,13.7972
Gambia,External Health Expenditure (EXT) per Capita in PPP Int$,,25.6052,26.9816,20.1989,31.9368,30.1886,29.6422,48.9255,42.0728,36.0698,32.5757
Gambia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,16.9808,18.3718,18.8418,19.3998,20.1027,20.5097,20.5281,21.6894,18.6614,17.5304
Gambia,Gross Domestic Product ,in current PPP per capita,"1,420.53","1,483.76","1,541.97","1,610.97","1,524.77","1,589.06","1,639.98","1,633.07","1,669.74","1,676.87"
Gambia,General government expenditure ,in current PPP per capita,254.7095,284.2503,356.3672,380.1753,395.8695,472.8363,443.531,457.4126,496.3641,499.4655
Ghana,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,56.9497,64.6993,82.3176,96.0554,109.8963,98.8897,98.1866,80.382,88.2158,72.6358
Ghana,External Health Expenditure (EXT) per Capita in PPP Int$,,14.9575,15.1653,18.9076,14.832,18.3538,15.6301,39.2994,35.9556,62.6919,24.223
Ghana,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,55.6419,61.882,59.1589,61.348,76.7355,81.2617,93.7307,103.2386,90.0283,71.6286
Ghana,Gross Domestic Product ,in current PPP per capita,"2,520.67","2,733.31","2,814.42","2,997.52","3,404.44","3,699.33","3,940.09","4,075.32","4,130.53","4,256.85"
Ghana,General government expenditure ,in current PPP per capita,623.473,654.7312,665.269,802.4722,904.7245,"1,102.11","1,132.18","1,196.24","1,030.82","1,111.03"
Guinea,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,4.4164,4.7589,4.0072,6.0195,8.2964,8.8213,8.6546,11.1587,8.039,13.2484
Guinea,External Health Expenditure (EXT) per Capita in PPP Int$,,10.5421,10.0526,10.414,10.2643,15.9554,13.2136,13.8445,16.1619,25.5225,29.3364
Guinea,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,29.6007,27.579,29.2519,30.7919,36.9523,37.5014,37.9503,50.9877,53.6852,53.6052
Guinea,Gross Domestic Product ,in current PPP per capita,"1,483.11","1,540.29","1,494.34","1,543.51","1,625.57","1,715.16","1,771.36","1,827.42","1,866.77","1,966.38"
Guinea,General government expenditure ,in current PPP per capita,128.642,155.3407,242.8287,316.2127,260.7659,343.7355,330.1616,368.7394,406.3729,322.0817
Guinea-Bissau,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,35.901,32.837,39.0167,16.7258,7.7102,17.4712,27.2626,32.0278,33.6824,43.354
Guinea-Bissau,External Health Expenditure (EXT) per Capita in PPP Int$,,19.6613,20.4696,11.1837,31.4456,38.2914,17.2972,7.433,33.8165,32.7412,19.9355
Guinea-Bissau,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,34.839,37.7799,38.3111,38.9318,34.1193,35.0484,35.1278,34.121,34.0007,34.6826
Guinea-Bissau,Gross Domestic Product ,in current PPP per capita,"1,272.11","1,307.19","1,328.67","1,372.04","1,475.39","1,438.98","1,470.90","1,472.98","1,540.29","1,608.70"
Guinea-Bissau,General government expenditure ,in current PPP per capita,325.68,312.0573,293.6061,281.5133,268.7388,198.0413,193.7249,363.9345,360.2337,336.6348
Kenya,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,35.1162,36.7461,38.1815,42.9734,45.8654,48.2189,51.6181,52.6548,52.0676,51.9294
Kenya,External Health Expenditure (EXT) per Capita in PPP Int$,,38.6684,39.0151,39.9211,42.7401,39.1146,36.1715,34.7065,34.3575,30.7458,27.9308
Kenya,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,48.3992,45.413,43.1462,44.7783,46.015,47.0234,49.2412,46.2686,42.5516,39.7809
Kenya,Gross Domestic Product ,in current PPP per capita,"2,256.27","2,243.29","2,271.89","2,425.76","2,556.87","2,650.44","2,776.53","2,900.15","3,019.58","3,155.11"
Kenya,General government expenditure ,in current PPP per capita,498.527,512.0514,525.5818,587.3312,602.7081,640.7732,705.1246,787.4352,824.2476,856.6952
Lesotho,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,89.9394,88.5539,101.7095,106.2315,127.5687,140.7034,149.5848,168.7683,158.9182,154.8777
Lesotho,External Health Expenditure (EXT) per Capita in PPP Int$,,9.9183,26.658,48.5595,32.4813,54.968,50.0392,61.2701,40.4692,46.6738,42.0112
Lesotho,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,34.8099,35.3575,38.5216,40.8754,39.7748,44.2262,41.9376,41.8077,38.3393,45.8411
Lesotho,Gross Domestic Product ,in current PPP per capita,"2,085.28","2,152.33","2,238.77","2,409.91","2,553.97","2,738.19","2,833.95","2,909.61","2,922.83","3,005.36"
Lesotho,General government expenditure ,in current PPP per capita,914.8343,"1,067.16","1,351.46","1,228.18","1,415.98","1,468.73","1,530.79","1,440.30","1,409.33","1,420.95"
Liberia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,7.3899,13.8071,9.8992,8.3655,16.8843,9.931,4.0288,10.3033,14.4098,18.9686
Liberia,External Health Expenditure (EXT) per Capita in PPP Int$,,20.0136,16.888,36.4362,35.0077,33.131,44.13,48.5817,44.2519,45.9123,40.1332
Liberia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,55.9853,43.7963,48.1573,47.7905,50.3134,47.0512,51.3329,60.4142,62.0913,62.928
Liberia,Gross Domestic Product ,in current PPP per capita,917.5377,"1,038.47","1,027.75","1,064.35","1,139.62","1,223.77","1,322.25","1,320.54","1,301.97","1,384.78"
Liberia,General government expenditure ,in current PPP per capita,155.0391,302.6365,345.2953,350.5207,333.617,371.043,435.4332,425.9001,469.6438,491.3071
Madagascar,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,30.1319,20.3418,16.5802,28.9978,24.0139,18.1846,21.5796,29.6446,34.6585,43.0923
Madagascar,External Health Expenditure (EXT) per Capita in PPP Int$,,12.2934,13.9433,17.8798,11.5212,18.8597,12.2368,12.5958,18.8835,20.478,22.6646
Madagascar,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,23.9242,25.7191,26.0018,26.3644,20.1982,20.0191,20.1424,19.8213,20.3669,20.2185
Madagascar,Gross Domestic Product ,in current PPP per capita,"1,378.26","1,463.09","1,375.64","1,357.65","1,367.54","1,396.20","1,411.92","1,445.34","1,466.50","1,506.24"
Madagascar,General government expenditure ,in current PPP per capita,257.3952,261.9119,193.5333,190.6529,192.2829,187.6762,210.1627,212.9013,222.02,241.6987
Malawi,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,8.8513,17.5389,14.3346,16.1304,17.0562,14.2599,22.9373,25.3607,31.141,32.2993
Malawi,External Health Expenditure (EXT) per Capita in PPP Int$,,42.804,44.7764,49.5411,45.9993,50.7445,63.5571,86.8692,70.3205,58.1527,61.9044
Malawi,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,7.6829,8.1223,8.9599,8.0087,7.0594,9.1954,8.5352,9.1285,11.9368,13.1142
Malawi,Gross Domestic Product ,in current PPP per capita,855.7852,910.9174,964.3146,"1,012.07","1,051.19","1,058.91","1,099.20","1,148.64","1,164.57","1,171.44"
Malawi,General government expenditure ,in current PPP per capita,249.7124,264.739,272.6871,278.3656,251.5672,280.8063,325.6975,298.9257,320.7759,328.5829
Mali,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,25.4,18.4333,15.821,11.8907,13.052,8.6048,13.3526,17.3643,18.7617,25.2554
Mali,External Health Expenditure (EXT) per Capita in PPP Int$,,9.3689,8.8333,9.5094,12.5285,11.5197,20.7936,28.114,39.9887,34.599,26.5161
Mali,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,52.9694,55.6858,57.3932,56.1743,51.6494,50.8512,51.9169,29.4573,28.7117,28.6413
Mali,Gross Domestic Product ,in current PPP per capita,"1,681.66","1,737.71","1,774.07","1,834.12","1,874.70","1,838.19","1,856.18","1,964.84","2,043.75","2,125.41"
Mali,General government expenditure ,in current PPP per capita,361.3845,329.6129,405.1212,371.6139,385.4715,285.4911,366.5757,392.1648,427.9095,472.5274
Mauritania,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,32.2297,37.4715,35.6907,30.8479,32.9579,40.5609,50.057,57.8533,69.1022,60.078
Mauritania,External Health Expenditure (EXT) per Capita in PPP Int$,,4.9711,6.4316,6.6288,6.5749,5.978,6.5146,12.3057,16.4886,15.4543,13.4602
Mauritania,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,79.0188,77.2148,79.2806,69.6338,63.7607,66.5979,68.049,76.2782,85.4192,83.4391
Mauritania,Gross Domestic Product ,in current PPP per capita,"3,249.22","3,255.50","3,154.62","3,249.88","3,371.99","3,526.34","3,689.84","3,765.00","3,812.74","3,865.05"
Mauritania,General government expenditure ,in current PPP per capita,827.0455,833.155,748.4946,730.4929,752.1804,977.1076,950.2994,"1,109.04","1,249.53","1,086.35"
Mauritius,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,199.9081,201.7628,237.8739,316.3278,293.7505,331.5459,358.1083,477.637,478.3749,532.3226
Mauritius,External Health Expenditure (EXT) per Capita in PPP Int$,,0.7922,5.2474,10.9657,13.4938,28.0593,16.1432,12.1528,4.4019,29.8328,2.7273
Mauritius,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,266.8285,353.6619,366.5288,374.8955,379.0583,385.0324,455.5637,531.7593,569.0686,581.1753
Mauritius,Gross Domestic Product ,in current PPP per capita,"12,801.81","13,824.91","14,377.61","15,200.20","16,212.14","17,109.67","17,994.13","19,001.34","19,825.62","21,002.61"
Mauritius,General government expenditure ,in current PPP per capita,"2,921.41","3,295.41","3,786.75","3,813.07","3,989.98","3,985.38","4,472.34","4,536.66","5,054.32","5,343.76"
Mozambique,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,17.0949,9.4464,4.5109,3.8485,1.878,14.5621,10.9221,21.3725,4.9623,32.8827
Mozambique,External Health Expenditure (EXT) per Capita in PPP Int$,,21.0961,23.944,33.5131,37.8381,36.3139,33.2772,34.9963,37.1909,52.0081,23.494
Mozambique,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,4.1031,3.9425,3.991,3.8039,3.9378,4.2847,4.3827,4.3273,4.3872,4.7297
Mozambique,Gross Domestic Product ,in current PPP per capita,778.3828,823.7852,857.3419,899.1989,954.8003,"1,012.44","1,070.66","1,137.53","1,190.75","1,216.79"
Mozambique,General government expenditure ,in current PPP per capita,187.9628,197.1586,247.5519,268.9938,307.2035,312.2083,365.5793,483.6669,419.5214,393.8278
Namibia,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,458.6338,417.614,348.1554,423.8001,457.5438,453.1683,491.0047,531.9774,566.1637,599.9236
Namibia,External Health Expenditure (EXT) per Capita in PPP Int$,,166.7759,177.8726,78.4786,99.7174,89.9976,67.136,57.2825,49.8729,59.8222,67.6209
Namibia,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,58.3716,46.1679,60.3481,74.8047,88.3454,92.3117,82.0947,74.8114,76.7694,74.8114
Namibia,Gross Domestic Product ,in current PPP per capita,"7,629.30","7,884.82","7,853.80","8,289.68","8,721.30","9,132.38","9,578.42","10,131.32","10,610.54","10,624.91"
Namibia,General government expenditure ,in current PPP per capita,"1,973.02","2,212.13","2,503.56","2,746.57","3,346.32","3,200.14","3,508.91","4,114.28","4,583.44","4,345.70"
Niger,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,,14.7788,16.6892,15.8861,13.0367,14.5039,13.3643,16.3238,15.9826,14.36,14.9207
Niger,External Health Expenditure (EXT) per Capita in PPP Int$,,6.3039,6.1717,5.8723,6.029,5.3565,5.9095,6.3797,6.4854,9.7651,7.9598
Niger,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,,29.0164,28.9609,28.9013,29.9627,30.7716,31.2752,30.3869,30.4732,35.7034,35.9431
Niger,Gross Domestic Product ,in current PPP per capita,726.991,783.867,755.1622,797.5117,801.6042,878.4767,904.2635,952.5444,963.2553,986.207
